,kor,no,url,part,video_sec,video_link
602,간혹,10891,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632409/MOV000256536_700X466.mp4,,4.0,간혹_(602).mp4
603,간혹,12407,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632407/MOV000249364_700X466.mp4,,4.0,간혹_(603).mp4
604,간혹,12415,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191029/632408/MOV000250331_700X466.mp4,,4.0,간혹_(604).mp4
605,갇히다,9356,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733639/MOV000250333_700X466.mp4,,3.02,갇히다_(605).mp4
606,갇히다,11255,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151230/237274/MOV000246780_700X466.mp4,,7.48,갇히다_(606).mp4
607,갇히다,11268,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/248984/MOV000262127_700X466.mp4,,3.43,갇히다_(607).mp4
608,갈고닦다,11201,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345447/MOV000240145_700X466.mp4,,5.0,갈고닦다_(608).mp4
609,갈고닦다,12689,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151224/233440/MOV000245052_700X466.mp4,,8.18,갈고닦다_(609).mp4
610,갈고리,4287,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151226/235105/MOV000245808_700X466.mp4,,8.44,갈고리_(610).mp4
611,갈고리,6406,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239922/MOV000250335_700X466.mp4,,17.79,갈고리_(611).mp4
612,갈급,8904,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200819/731417/MOV000259688_700X466.mp4,,3.27,갈급_(612).mp4
613,갈급,10210,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200819/731286/MOV000237162_700X466.mp4,,3.27,갈급_(613).mp4
614,갈다,2142,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733020/MOV000240149_700X466.mp4,,2.94,갈다_(614).mp4
615,갈다,6407,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239923/MOV000250337_700X466.mp4,,18.05,갈다_(615).mp4
616,갈다,9772,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733642/MOV000260248_700X466.mp4,,2.82,갈다_(616).mp4
617,갈다,11202,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151205/222571/MOV000240147_700X466.mp4,,8.01,갈다_(617).mp4
618,갈다,11203,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629727/MOV000240151_700X466.mp4,,3.4,갈다_(618).mp4
619,갈다,11204,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222673/MOV000240153_700X466.mp4,,9.34,갈다_(619).mp4
620,갈다,11205,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222674/MOV000240155_700X466.mp4,,8.54,갈다_(620).mp4
621,갈다,12706,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160415/290582/MOV000284871_700X466.mp4,,3.02,갈다_(621).mp4
622,갈등,408,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727517/MOV000250339_700X466.mp4,,3.15,갈등_(622).mp4
623,갈라놓다,8583,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631883/MOV000243890_700X466.mp4,,4.32,갈라놓다_(623).mp4
624,갈라놓다,9357,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631884/MOV000250341_700X466.mp4,,4.32,갈라놓다_(624).mp4
625,갈라지다,565,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631886/MOV000236792_700X466.mp4,,4.32,갈라지다_(625).mp4
626,갈라지다,5674,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631885/MOV000253065_700X466.mp4,,4.32,갈라지다_(626).mp4
627,갈라지다,8583,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631883/MOV000243890_700X466.mp4,,4.32,갈라지다_(627).mp4
628,갈라지다,9180,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735005/MOV000254883_700X466.mp4,,2.94,갈라지다_(628).mp4
629,갈라지다,9357,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/631884/MOV000250341_700X466.mp4,,4.32,갈라지다_(629).mp4
630,갈림길,6409,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239926/MOV000250343_700X466.mp4,,16.58,갈림길_(630).mp4
631,갈림길,12912,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239579/MOV000249614_700X466.mp4,,14.68,갈림길_(631).mp4
632,갈망,6410,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732294/MOV000250345_700X466.mp4,,4.66,갈망_(632).mp4
633,갈매기,6411,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239928/MOV000250347_700X466.mp4,,18.92,갈매기_(633).mp4
634,갈무리,15290,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/250904/MOV000262930_700X466.mp4,,3.92,갈무리_(634).mp4
635,갈비,11004,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732514/MOV000250349_700X466.mp4,,3.37,갈비_(635).mp4
636,갈비뼈,11004,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732514/MOV000250349_700X466.mp4,,3.37,갈비뼈_(636).mp4
637,갈비찜,3502,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005084/MOV000359812_700X466.mp4,,4.02,갈비찜_(637).mp4
638,갈비찜,6412,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239930/MOV000250351_700X466.mp4,,18.25,갈비찜_(638).mp4
639,갈비탕,3502,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220801/1005084/MOV000359812_700X466.mp4,,4.02,갈비탕_(639).mp4
640,갈비탕,6412,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239930/MOV000250351_700X466.mp4,,18.25,갈비탕_(640).mp4
641,갈색,3503,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732158/MOV000243894_700X466.mp4,,3.3,갈색_(641).mp4
642,갈아입다,3504,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230882/MOV000243896_700X466.mp4,,9.81,갈아입다_(642).mp4
643,갈아타다,9274,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20190107/527262/MOV000241765_700X466.mp4,,11.05,갈아타다_(643).mp4
644,갈증,6122,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626595/MOV000251808_700X466.mp4,,4.14,갈증_(644).mp4
645,갈증,6413,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626596/MOV000250353_700X466.mp4,,4.14,갈증_(645).mp4
646,갈증,9993,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626599/MOV000258313_700X466.mp4,,4.14,갈증_(646).mp4
647,갈증,10438,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626597/MOV000251828_700X466.mp4,,4.14,갈증_(647).mp4
648,갈증,23901,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191011/626598/MOV000260364_700X466.mp4,,4.14,갈증_(648).mp4
649,감,6414,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627246/MOV000250355_700X466.mp4,,3.7,감_(649).mp4
650,감각,7514,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160103/239933/MOV000250357_700X466.mp4,,18.15,감각_(650).mp4
651,감각,14099,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/250228/MOV000262659_700X466.mp4,,5.85,감각_(651).mp4
652,감각적,3307,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151220/231123/MOV000243982_700X466.mp4,,9.84,감각적_(652).mp4
653,감감무소식,7356,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732351/MOV000250180_700X466.mp4,,3.77,감감무소식_(653).mp4
654,감감하다,7356,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732351/MOV000250180_700X466.mp4,,3.77,감감하다_(654).mp4
655,감격,7515,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732367/MOV000250359_700X466.mp4,,3.6,감격_(655).mp4
656,감금,12416,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238956/MOV000248410_700X466.mp4,,14.48,감금_(656).mp4
657,감금,13028,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/248529/MOV000261940_700X466.mp4,,3.43,감금_(657).mp4
658,감기,8833,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20221014/1039985/MOV000360529_700X466.mp4,,3.19,감기_(658).mp4
659,감기,11518,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735052/MOV000249882_700X466.mp4,,3.07,감기_(659).mp4
660,감나무,1501,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151211/226154/MOV000241767_700X466.mp4,,11.38,감나무_(660).mp4
661,감다,4561,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732204/MOV000248414_700X466.mp4,,3.52,감다_(661).mp4
662,감다,4562,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625089/MOV000248416_700X466.mp4,,4.04,감다_(662).mp4
663,감다,9753,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238960/MOV000248418_700X466.mp4,,17.49,감다_(663).mp4
664,감당,1502,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200824/735125/MOV000241769_700X466.mp4,,2.99,감당_(664).mp4
665,감독,4563,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785159/MOV000357005_700X466.mp4,,4.47,감독_(665).mp4
666,감독,10211,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727509/MOV000248420_700X466.mp4,,3.35,감독_(666).mp4
667,감독관,9275,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005693/MOV000359818_700X466.mp4,,4.69,감독관_(667).mp4
668,감독자,9275,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220802/1005693/MOV000359818_700X466.mp4,,4.69,감독자_(668).mp4
669,감동,4564,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733723/MOV000248422_700X466.mp4,,3.69,감동_(669).mp4
670,감동적,2371,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151220/231124/MOV000243984_700X466.mp4,,8.34,감동적_(670).mp4
671,감리교,4565,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251686/MOV000263993_700X466.mp4,,4.55,감리교_(671).mp4
672,감면,800,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627325/MOV000236924_700X466.mp4,,3.34,감면_(672).mp4
673,감면,1503,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627320/MOV000241773_700X466.mp4,,3.34,감면_(673).mp4
674,감면,3023,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627319/MOV000244264_700X466.mp4,,3.34,감면_(674).mp4
675,감면,6481,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627316/MOV000253641_700X466.mp4,,3.34,감면_(675).mp4
676,감면,9905,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191014/627322/MOV000354410_700X466.mp4,,3.34,감면_(676).mp4
677,감면,12445,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/249544/MOV000262350_700X466.mp4,,3.08,감면_(677).mp4
678,감명,1504,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151212/226257/MOV000241775_700X466.mp4,,14.15,감명_(678).mp4
679,감방,4566,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238964/MOV000248426_700X466.mp4,,16.48,감방_(679).mp4
680,감법,1535,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151212/226258/MOV000241777_700X466.mp4,,10.24,감법_(680).mp4
681,감별,1536,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151212/226259/MOV000241779_700X466.mp4,,10.68,감별_(681).mp4
682,감봉,2143,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222675/MOV000240157_700X466.mp4,,9.34,감봉_(682).mp4
683,감사,850,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216029/MOV000237164_700X466.mp4,,8.31,감사_(683).mp4
684,감사,2372,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632085/MOV000243986_700X466.mp4,,3.97,감사_(684).mp4
685,감사,3039,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630088/MOV000244704_700X466.mp4,,3.84,감사_(685).mp4
686,감사,7696,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630092/MOV000254631_700X466.mp4,,3.84,감사_(686).mp4
687,감사,9358,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632083/MOV000248428_700X466.mp4,,3.97,감사_(687).mp4
688,감사,9372,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630087/MOV000249374_700X466.mp4,,3.84,감사_(688).mp4
689,감사,9911,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630090/MOV000258964_700X466.mp4,,3.84,감사_(689).mp4
690,감사,10693,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630091/MOV000254629_700X466.mp4,,3.84,감사_(690).mp4
691,감사,11222,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630086/MOV000240547_700X466.mp4,,3.84,감사_(691).mp4
692,감사,11920,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632084/MOV000250232_700X466.mp4,,3.97,감사_(692).mp4
693,감사,12419,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630085/MOV000248560_700X466.mp4,,3.84,감사_(693).mp4
694,감사,12468,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630089/MOV000235299_700X466.mp4,,3.84,감사_(694).mp4
695,감사,12582,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/248530/MOV000261942_700X466.mp4,,3.37,감사_(695).mp4
696,감사합니다,2372,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632085/MOV000243986_700X466.mp4,,3.97,감사합니다_(696).mp4
697,감산,1537,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151212/226260/MOV000241781_700X466.mp4,,10.04,감산_(697).mp4
698,감상,1538,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151212/226261/MOV000241783_700X466.mp4,,10.68,감상_(698).mp4
699,감상,4568,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238967/MOV000248432_700X466.mp4,,19.15,감상_(699).mp4
700,감상문,4569,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160102/238968/MOV000248434_700X466.mp4,,18.85,감상문_(700).mp4
701,감성,851,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216030/MOV000237166_700X466.mp4,,7.71,감성_(701).mp4
702,감소,1602,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633136/MOV000238973_700X466.mp4,,3.74,감소_(702).mp4
703,감소,4570,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/250330/MOV000262666_700X466.mp4,,4.62,감소_(703).mp4
704,감소,6001,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633140/MOV000257544_700X466.mp4,,3.74,감소_(704).mp4
705,감소,10496,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633139/MOV000247552_700X466.mp4,,3.74,감소_(705).mp4
706,감소,12867,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633135/MOV000248436_700X466.mp4,,3.74,감소_(706).mp4
707,감소,12945,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191101/633158/MOV000260284_700X466.mp4,,3.74,감소_(707).mp4
708,감수,852,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216031/MOV000237168_700X466.mp4,,7.07,감수_(708).mp4
709,감수,853,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/731846/MOV000237170_700X466.mp4,,3.35,감수_(709).mp4
710,감수,4563,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20201211/785159/MOV000357005_700X466.mp4,,4.47,감수_(710).mp4
711,감수,10211,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200811/727509/MOV000248420_700X466.mp4,,3.35,감수_(711).mp4
712,감수성,854,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216034/MOV000237174_700X466.mp4,,10.18,감수성_(712).mp4
713,감시,3039,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630088/MOV000244704_700X466.mp4,,3.84,감시_(713).mp4
714,감시,6517,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630086/MOV000240547_700X466.mp4,,3.84,감시_(714).mp4
715,감시,7696,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630092/MOV000254631_700X466.mp4,,3.84,감시_(715).mp4
716,감시,9372,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630087/MOV000249374_700X466.mp4,,3.84,감시_(716).mp4
717,감시,9911,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630090/MOV000258964_700X466.mp4,,3.84,감시_(717).mp4
718,감시,10693,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630091/MOV000254629_700X466.mp4,,3.84,감시_(718).mp4
719,감시,12417,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630084/MOV000248438_700X466.mp4,,3.84,감시_(719).mp4
720,감시,12419,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630085/MOV000248560_700X466.mp4,,3.84,감시_(720).mp4
721,감시,12468,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630089/MOV000235299_700X466.mp4,,3.84,감시_(721).mp4
722,감시,12582,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/248530/MOV000261942_700X466.mp4,,3.37,감시_(722).mp4
723,감싸다,612,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151123/215019/MOV000236730_700X466.mp4,,7.98,감싸다_(723).mp4
724,감싸다,3445,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151219/230762/MOV000243854_700X466.mp4,,7.14,감싸다_(724).mp4
725,감싸다,4571,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200821/733551/MOV000248440_700X466.mp4,,3.52,감싸다_(725).mp4
726,감염,2733,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632032/MOV000257766_700X466.mp4,,4.14,감염_(726).mp4
727,감염,9359,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632031/MOV000248442_700X466.mp4,,4.14,감염_(727).mp4
728,감옥,154,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735458/MOV000234913_700X466.mp4,,3.29,감옥_(728).mp4
729,감옥,4509,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200902/739738/MOV000247598_700X466.mp4,,3.7,감옥_(729).mp4
730,감옥,5805,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/248531/MOV000261944_700X466.mp4,,3.93,감옥_(730).mp4
731,감옥,10220,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151124/215766/MOV000237036_700X466.mp4,,8.61,감옥_(731).mp4
732,감옥살이,2373,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151220/231126/MOV000243988_700X466.mp4,,11.01,감옥살이_(732).mp4
733,감자,4572,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191007/625090/MOV000248444_700X466.mp4,,4.0,감자_(733).mp4
734,감전,8703,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160924/345448/MOV000240159_700X466.mp4,,10.71,감전_(734).mp4
735,감전,11893,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/245403/MOV000259629_700X466.mp4,,14.65,감전_(735).mp4
736,감정,5794,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160101/238313/MOV000247274_700X466.mp4,,10.85,감정_(736).mp4
737,감정,6352,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630075/MOV000249746_700X466.mp4,,3.5,감정_(737).mp4
738,감정,9360,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630074/MOV000248558_700X466.mp4,,3.5,감정_(738).mp4
739,감정,9900,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630076/MOV000258367_700X466.mp4,,3.5,감정_(739).mp4
740,감정기호,19514,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251767/MOV000264269_700X466.mp4,,7.02,감정기호_(740).mp4
741,감찰,3039,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630088/MOV000244704_700X466.mp4,,3.84,감찰_(741).mp4
742,감찰,6517,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630086/MOV000240547_700X466.mp4,,3.84,감찰_(742).mp4
743,감찰,7696,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630092/MOV000254631_700X466.mp4,,3.84,감찰_(743).mp4
744,감찰,9372,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630087/MOV000249374_700X466.mp4,,3.84,감찰_(744).mp4
745,감찰,9911,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630090/MOV000258964_700X466.mp4,,3.84,감찰_(745).mp4
746,감찰,10693,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630091/MOV000254629_700X466.mp4,,3.84,감찰_(746).mp4
747,감찰,12417,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630084/MOV000248438_700X466.mp4,,3.84,감찰_(747).mp4
748,감찰,12419,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630085/MOV000248560_700X466.mp4,,3.84,감찰_(748).mp4
749,감찰,12468,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191022/630089/MOV000235299_700X466.mp4,,3.84,감찰_(749).mp4
750,감찰,12582,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/248530/MOV000261942_700X466.mp4,,3.37,감찰_(750).mp4
751,감추다,3410,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151221/231774/MOV000244294_700X466.mp4,,7.21,감추다_(751).mp4
752,감추다,4748,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20220729/1003150/MOV000359582_700X466.mp4,,3.19,감추다_(752).mp4
753,감추다,10766,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160106/241630/MOV000253715_700X466.mp4,,10.71,감추다_(753).mp4
754,감탄,2282,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151206/222677/MOV000240161_700X466.mp4,,16.18,감탄_(754).mp4
755,감탄,19515,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251768/MOV000264274_700X466.mp4,,5.02,감탄_(755).mp4
756,감탄문,19516,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251769/MOV000264277_700X466.mp4,명사,6.02,감탄문_(756).mp4
757,감탄법,19517,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251770/MOV000264281_700X466.mp4,명사,5.02,감탄법_(757).mp4
758,감탄사,19518,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251771/MOV000264285_700X466.mp4,,6.02,감탄사_(758).mp4
759,감탄조사,19519,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251772/MOV000264289_700X466.mp4,,6.28,감탄조사_(759).mp4
760,감탄형,19520,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251773/MOV000264294_700X466.mp4,명사,4.65,감탄형_(760).mp4
761,감탄형종결어미,19521,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160407/252586/MOV000264298_700X466.mp4,,9.02,감탄형종결어미_(761).mp4
762,감투,335,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151119/212567/MOV000235601_700X466.mp4,,8.84,감투_(762).mp4
763,감투,8510,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200902/739498/MOV000248564_700X466.mp4,,2.94,감투_(763).mp4
764,감표,2325,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200825/735499/MOV000241719_700X466.mp4,,2.54,감표_(764).mp4
765,감행,855,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216035/MOV000237176_700X466.mp4,,8.44,감행_(765).mp4
766,감형,5795,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160101/238314/MOV000247276_700X466.mp4,,10.75,감형_(766).mp4
767,감호,856,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151125/216036/MOV000237178_700X466.mp4,,11.21,감호_(767).mp4
768,감호조치,5796,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160101/238315/MOV000247278_700X466.mp4,,12.18,감호조치_(768).mp4
769,감회,4750,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20180806/503219/MOV000354352_700X466.mp4,,21.23,감회_(769).mp4
770,감히,11206,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20200820/732518/MOV000240163_700X466.mp4,,2.82,감히_(770).mp4
771,갑갑하다,9313,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632060/MOV000236346_700X466.mp4,,4.0,갑갑하다_(771).mp4
772,갑갑하다,9361,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632058/MOV000248570_700X466.mp4,,4.0,갑갑하다_(772).mp4
773,갑갑하다,11672,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632059/MOV000247656_700X466.mp4,,4.0,갑갑하다_(773).mp4
774,갑갑하다,11833,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632057/MOV000251299_700X466.mp4,,4.0,갑갑하다_(774).mp4
775,갑부,1539,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151212/226262/MOV000241785_700X466.mp4,,12.38,갑부_(775).mp4
776,갑옷,1205,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20151128/218331/MOV000238201_700X466.mp4,,9.08,갑옷_(776).mp4
777,갑옷,1686,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20160325/251692/MOV000264014_700X466.mp4,,4.0,갑옷_(777).mp4
778,갑자기,3536,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629721/MOV000244354_700X466.mp4,,3.5,갑자기_(778).mp4
779,갑자기,8663,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629723/MOV000237180_700X466.mp4,,3.5,갑자기_(779).mp4
780,갑자기,8664,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632079/MOV000260187_700X466.mp4,,4.04,갑자기_(780).mp4
781,갑자기,8713,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629720/MOV000241898_700X466.mp4,,3.5,갑자기_(781).mp4
782,갑자기,11896,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191028/632080/MOV000259636_700X466.mp4,,4.04,갑자기_(782).mp4
783,갑자기,12201,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629722/MOV000253464_700X466.mp4,,3.5,갑자기_(783).mp4
784,갑작스럽다,8663,http://sldict.korean.go.kr/multimedia/multimedia_files/convert/20191021/629723/MOV000237180_700X466.mp4,,3.5,갑작스럽다_(784).mp4
